Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,1.207,0.01,0,0,0,0,p,8775222
2021-09-08 00:06,1.227,0.01,0,0,0,0,p,8775222
2021-09-08 00:12,1.207,0.03,0,0,0,0,p,8775222
2021-09-08 00:18,1.171,0.007,0,0,0,0,p,8775222
2021-09-08 00:24,1.204,0.039,0,0,0,0,p,8775222
2021-09-08 00:30,1.306,0.036,0,0,0,0,p,8775222
2021-09-08 00:36,1.237,0.03,0,0,0,0,p,8775222
2021-09-08 00:42,1.129,0.069,0,0,0,0,p,8775222
2021-09-08 00:48,1.109,0.036,0,0,0,0,p,8775222
2021-09-08 00:54,1.207,0.016,0,0,0,0,p,8775222
2021-09-08 01:00,1.155,0.049,0,0,0,0,p,8775222
2021-09-08 01:06,1.148,0.036,0,0,0,0,p,8775222
2021-09-08 01:12,1.178,0.039,0,0,0,0,p,8775222
2021-09-08 01:18,1.093,0.066,0,0,0,0,p,8775222
2021-09-08 01:24,1.079,0.062,0,0,0,0,p,8775222
2021-09-08 01:30,1.109,0.039,0,0,0,0,p,8775222
2021-09-08 01:36,1.102,0.03,0,0,0,0,p,8775222
2021-09-08 01:42,1.079,0.043,0,0,0,0,p,8775222
2021-09-08 01:48,1.056,0.013,0,0,0,0,p,8775222
2021-09-08 01:54,1.037,0.02,0,0,0,0,p,8775222
2021-09-08 02:00,1.138,0.026,0,0,0,0,p,8775222
2021-09-08 02:06,1.073,0.092,0,0,0,0,p,8775222
2021-09-08 02:12,1.047,0.03,0,0,0,0,p,8775222
2021-09-08 02:18,1.099,0.039,0,0,0,0,p,8775222
2021-09-08 02:24,1.03,0.039,0,0,0,0,p,8775222
2021-09-08 02:30,1.017,0.052,0,0,0,0,p,8775222
2021-09-08 02:36,1.03,0.033,0,0,0,0,p,8775222
2021-09-08 02:42,1.037,0.066,0,0,0,0,p,8775222
2021-09-08 02:48,0.958,0.023,0,0,0,0,p,8775222
2021-09-08 02:54,0.922,0.026,0,0,0,0,p,8775222
2021-09-08 03:00,0.978,0.02,0,0,0,0,p,8775222
2021-09-08 03:06,0.958,0.043,0,0,0,0,p,8775222
2021-09-08 03:12,0.912,0.013,0,0,0,0,p,8775222
2021-09-08 03:18,0.909,0.007,0,0,0,0,p,8775222
2021-09-08 03:24,0.955,0.036,0,0,0,0,p,8775222
2021-09-08 03:30,0.948,0.02,0,0,0,0,p,8775222
2021-09-08 03:36,0.942,0.007,0,0,0,0,p,8775222
2021-09-08 03:42,0.955,0.013,0,0,0,0,p,8775222
2021-09-08 03:48,0.945,0.013,0,0,0,0,p,8775222
2021-09-08 03:54,0.909,0.016,0,0,0,0,p,8775222
2021-09-08 04:00,0.915,0.013,0,0,0,0,p,8775222
2021-09-08 04:06,0.922,0.02,0,0,0,0,p,8775222
2021-09-08 04:12,0.909,0.02,0,0,0,0,p,8775222
2021-09-08 04:18,0.85,0.01,0,0,0,0,p,8775222
2021-09-08 04:24,0.833,0.016,0,0,0,0,p,8775222
2021-09-08 04:30,0.814,0.023,0,0,0,0,p,8775222
2021-09-08 04:36,0.804,0.003,0,0,0,0,p,8775222
2021-09-08 04:42,0.807,0.007,0,0,0,0,p,8775222
2021-09-08 04:48,0.784,0.003,0,0,0,0,p,8775222
2021-09-08 04:54,0.764,0.01,0,0,0,0,p,8775222
2021-09-08 05:00,0.784,0.003,0,0,0,0,p,8775222
2021-09-08 05:06,0.791,0.007,0,0,0,0,p,8775222
2021-09-08 05:12,0.807,0.013,0,0,0,0,p,8775222
2021-09-08 05:18,0.781,0.003,0,0,0,0,p,8775222
2021-09-08 05:24,0.784,0.007,0,0,0,0,p,8775222
2021-09-08 05:30,0.794,0.0,0,0,0,0,p,8775222
2021-09-08 05:36,0.784,0.013,0,0,0,0,p,8775222
2021-09-08 05:42,0.764,0.0,0,0,0,0,p,8775222
2021-09-08 05:48,0.771,0.003,0,0,0,0,p,8775222
2021-09-08 05:54,0.722,0.016,0,0,0,0,p,8775222
2021-09-08 06:00,0.709,0.007,0,0,0,0,p,8775222
2021-09-08 06:06,0.712,0.007,0,0,0,0,p,8775222
2021-09-08 06:12,0.709,0.007,0,0,0,0,p,8775222
2021-09-08 06:18,0.709,0.0,0,0,0,0,p,8775222
2021-09-08 06:24,0.686,0.01,0,0,0,0,p,8775222
2021-09-08 06:30,0.679,0.0,1,0,0,0,p,8775222
2021-09-08 06:36,0.696,0.003,1,0,0,0,p,8775222
2021-09-08 06:42,0.709,0.013,0,0,0,0,p,8775222
2021-09-08 06:48,0.715,0.003,0,0,0,0,p,8775222
2021-09-08 06:54,0.696,0.013,0,0,0,0,p,8775222
2021-09-08 07:00,0.686,0.007,0,0,0,0,p,8775222
2021-09-08 07:06,0.679,0.003,0,0,0,0,p,8775222
2021-09-08 07:12,0.666,0.003,0,0,0,0,p,8775222
2021-09-08 07:18,0.669,0.0,0,0,0,0,p,8775222
2021-09-08 07:24,0.64,0.016,0,0,0,0,p,8775222
2021-09-08 07:30,0.617,0.007,0,0,0,0,p,8775222
2021-09-08 07:36,0.6,0.0,1,0,0,0,p,8775222
2021-09-08 07:42,0.584,0.003,1,0,0,0,p,8775222
2021-09-08 07:48,0.581,0.003,0,0,0,0,p,8775222
2021-09-08 07:54,0.587,0.0,1,0,0,0,p,8775222
2021-09-08 08:00,0.6,0.003,0,0,0,0,p,8775222
2021-09-08 08:06,0.61,0.003,0,0,0,0,p,8775222
2021-09-08 08:12,0.607,0.003,0,0,0,0,p,8775222
2021-09-08 08:18,0.623,0.003,0,0,0,0,p,8775222
2021-09-08 08:24,0.643,0.003,0,0,0,0,p,8775222
2021-09-08 08:30,0.659,0.007,0,0,0,0,p,8775222
2021-09-08 08:36,0.673,0.003,0,0,0,0,p,8775222
2021-09-08 08:42,0.679,0.0,0,0,0,0,p,8775222
2021-09-08 08:48,0.669,0.003,0,0,0,0,p,8775222
2021-09-08 08:54,0.656,0.003,0,0,0,0,p,8775222
2021-09-08 09:00,0.636,0.01,0,0,0,0,p,8775222
2021-09-08 09:06,0.636,0.003,0,0,0,0,p,8775222
2021-09-08 09:12,0.633,0.003,0,0,0,0,p,8775222
2021-09-08 09:18,0.627,0.007,0,0,0,0,p,8775222
2021-09-08 09:24,0.614,0.0,0,0,0,0,p,8775222
2021-09-08 09:30,0.61,0.0,0,0,0,0,p,8775222
2021-09-08 09:36,0.614,0.003,0,0,0,0,p,8775222
2021-09-08 09:42,0.63,0.007,0,0,0,0,p,8775222
2021-09-08 09:48,0.656,0.003,0,0,0,0,p,8775222
2021-09-08 09:54,0.673,0.003,0,0,0,0,p,8775222
2021-09-08 10:00,0.682,0.003,0,0,0,0,p,8775222
2021-09-08 10:06,0.686,0.0,1,0,0,0,p,8775222
2021-09-08 10:12,0.696,0.0,1,0,0,0,p,8775222
2021-09-08 10:18,0.702,0.003,0,0,0,0,p,8775222
2021-09-08 10:24,0.705,0.007,0,0,0,0,p,8775222
2021-09-08 10:30,0.722,0.003,0,0,0,0,p,8775222
2021-09-08 10:36,0.709,0.007,0,0,0,0,p,8775222
2021-09-08 10:42,0.679,0.016,0,0,0,0,p,8775222
2021-09-08 10:48,0.689,0.007,0,0,0,0,p,8775222
2021-09-08 10:54,0.692,0.007,0,0,0,0,p,8775222
2021-09-08 11:00,0.689,0.01,0,0,0,0,p,8775222
2021-09-08 11:06,0.696,0.003,0,0,0,0,p,8775222
2021-09-08 11:12,0.699,0.007,0,0,0,0,p,8775222
2021-09-08 11:18,0.715,0.0,0,0,0,0,p,8775222
2021-09-08 11:24,0.725,0.01,0,0,0,0,p,8775222
2021-09-08 11:30,0.764,0.016,0,0,0,0,p,8775222
2021-09-08 11:36,0.774,0.01,0,0,0,0,p,8775222
2021-09-08 11:42,0.771,0.003,0,0,0,0,p,8775222
2021-09-08 11:48,0.797,0.01,0,0,0,0,p,8775222
2021-09-08 11:54,0.807,0.0,0,0,0,0,p,8775222
2021-09-08 12:00,0.797,0.0,0,0,0,0,p,8775222
2021-09-08 12:06,0.797,0.0,0,0,0,0,p,8775222
2021-09-08 12:12,0.791,0.016,0,0,0,0,p,8775222
2021-09-08 12:18,0.814,0.01,0,0,0,0,p,8775222
2021-09-08 12:24,0.807,0.003,0,0,0,0,p,8775222
2021-09-08 12:30,0.801,0.003,0,0,0,0,p,8775222
2021-09-08 12:36,0.807,0.003,0,0,0,0,p,8775222
2021-09-08 12:42,0.794,0.003,0,0,0,0,p,8775222
2021-09-08 12:48,0.787,0.0,0,0,0,0,p,8775222
2021-09-08 12:54,0.784,0.003,0,0,0,0,p,8775222
2021-09-08 13:00,0.771,0.007,0,0,0,0,p,8775222
2021-09-08 13:06,0.751,0.026,0,0,0,0,p,8775222
2021-09-08 13:12,0.873,0.036,0,0,0,0,p,8775222
2021-09-08 13:18,0.791,0.039,0,0,0,0,p,8775222
2021-09-08 13:24,0.797,0.02,0,0,0,0,p,8775222
2021-09-08 13:30,0.735,0.079,0,0,0,0,p,8775222
2021-09-08 13:36,0.843,0.115,0,0,0,0,p,8775222
2021-09-08 13:42,1.05,0.043,0,0,0,0,p,8775222
2021-09-08 13:48,0.892,0.023,1,0,0,0,p,8775222
2021-09-08 13:54,0.83,0.039,0,0,0,0,p,8775222
2021-09-08 14:00,0.837,0.069,0,0,0,0,p,8775222
2021-09-08 14:06,0.833,0.026,0,0,0,0,p,8775222
2021-09-08 14:12,1.001,0.049,0,0,0,0,p,8775222
2021-09-08 14:18,0.906,0.03,1,0,0,0,p,8775222
2021-09-08 14:24,0.85,0.016,0,0,0,0,p,8775222
2021-09-08 14:30,0.797,0.026,0,0,0,0,p,8775222
2021-09-08 14:36,0.728,0.01,0,0,0,0,p,8775222
2021-09-08 14:42,0.764,0.039,0,0,0,0,p,8775222
2021-09-08 14:48,0.817,0.016,0,0,0,0,p,8775222
2021-09-08 14:54,0.807,0.02,0,0,0,0,p,8775222
2021-09-08 15:00,0.745,0.059,0,0,0,0,p,8775222
2021-09-08 15:06,0.686,0.03,0,0,0,0,p,8775222
2021-09-08 15:12,0.781,0.02,0,0,0,0,p,8775222
2021-09-08 15:18,0.817,0.036,0,0,0,0,p,8775222
2021-09-08 15:24,0.883,0.007,0,0,0,0,p,8775222
2021-09-08 15:30,0.84,0.016,0,0,0,0,p,8775222
2021-09-08 15:36,0.774,0.016,0,0,0,0,p,8775222
2021-09-08 15:42,0.804,0.066,0,0,0,0,p,8775222
2021-09-08 15:48,0.925,0.003,1,0,0,0,p,8775222
2021-09-08 15:54,0.866,0.033,1,0,0,0,p,8775222
2021-09-08 16:00,0.892,0.02,0,0,0,0,p,8775222
2021-09-08 16:06,0.797,0.049,0,0,0,0,p,8775222
2021-09-08 16:12,0.732,0.026,0,0,0,0,p,8775222
2021-09-08 16:18,0.755,0.043,0,0,0,0,p,8775222
2021-09-08 16:24,0.794,0.043,0,0,0,0,p,8775222
2021-09-08 16:30,0.801,0.023,0,0,0,0,p,8775222
2021-09-08 16:36,0.735,0.023,0,0,0,0,p,8775222
2021-09-08 16:42,0.751,0.039,0,0,0,0,p,8775222
2021-09-08 16:48,0.925,0.066,0,0,0,0,p,8775222
2021-09-08 16:54,0.787,0.151,0,0,0,0,p,8775222
2021-09-08 17:00,0.823,0.052,0,0,0,0,p,8775222
2021-09-08 17:06,0.869,0.023,0,0,0,0,p,8775222
2021-09-08 17:12,0.83,0.049,0,0,0,0,p,8775222
2021-09-08 17:18,0.827,0.089,0,0,0,0,p,8775222
2021-09-08 17:24,0.827,0.033,0,0,0,0,p,8775222
2021-09-08 17:30,0.823,0.052,0,0,0,0,p,8775222
2021-09-08 17:36,0.84,0.036,0,0,0,0,p,8775222
2021-09-08 17:42,0.702,0.052,0,0,0,0,p,8775222
2021-09-08 17:48,0.784,0.03,0,0,0,0,p,8775222
2021-09-08 17:54,0.843,0.043,0,0,0,0,p,8775222
2021-09-08 18:00,0.823,0.016,0,0,0,0,p,8775222
2021-09-08 18:06,0.738,0.033,1,0,0,0,p,8775222
2021-09-08 18:12,0.735,0.023,0,0,0,0,p,8775222
2021-09-08 18:18,0.784,0.013,0,0,0,0,p,8775222
2021-09-08 18:24,0.817,0.043,0,0,0,0,p,8775222
2021-09-08 18:30,0.843,0.043,0,0,0,0,p,8775222
2021-09-08 18:36,0.817,0.036,0,0,0,0,p,8775222
2021-09-08 18:42,0.745,0.043,0,0,0,0,p,8775222
2021-09-08 18:48,0.768,0.026,0,0,0,0,p,8775222
2021-09-08 18:54,0.817,0.007,0,0,0,0,p,8775222
2021-09-08 19:00,0.778,0.01,0,0,0,0,p,8775222
2021-09-08 19:06,0.794,0.013,0,0,0,0,p,8775222
2021-09-08 19:12,0.787,0.026,0,0,0,0,p,8775222
