Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,0.686,0.052,1,0,0,0,p,8516945
2021-09-08 00:06,0.794,0.066,1,0,0,0,p,8516945
2021-09-08 00:12,0.935,0.069,0,0,0,0,p,8516945
2021-09-08 00:18,1.093,0.062,1,0,0,0,p,8516945
2021-09-08 00:24,1.26,0.066,0,0,0,0,p,8516945
2021-09-08 00:30,1.453,0.085,0,0,0,0,p,8516945
2021-09-08 00:36,1.667,0.082,1,0,0,0,p,8516945
2021-09-08 00:42,1.903,0.082,1,0,0,0,p,8516945
2021-09-08 00:48,2.139,0.089,0,0,0,0,p,8516945
2021-09-08 00:54,2.405,0.092,0,0,0,0,p,8516945
2021-09-08 01:00,2.674,0.095,0,0,0,0,p,8516945
2021-09-08 01:06,2.976,0.102,0,0,0,0,p,8516945
2021-09-08 01:12,3.264,0.105,0,0,0,0,p,8516945
2021-09-08 01:18,3.579,0.095,0,0,0,0,p,8516945
2021-09-08 01:24,3.894,0.108,0,0,0,0,p,8516945
2021-09-08 01:30,4.213,0.102,0,0,0,0,p,8516945
2021-09-08 01:36,4.528,0.115,0,0,0,0,p,8516945
2021-09-08 01:42,4.833,0.098,0,0,0,0,p,8516945
2021-09-08 01:48,5.154,0.105,0,0,0,0,p,8516945
2021-09-08 01:54,5.459,0.098,0,0,0,0,p,8516945
2021-09-08 02:00,5.755,0.098,0,0,0,0,p,8516945
2021-09-08 02:06,6.053,0.092,0,0,0,0,p,8516945
2021-09-08 02:12,6.319,0.079,0,0,0,0,p,8516945
2021-09-08 02:18,6.568,0.085,0,0,0,0,p,8516945
2021-09-08 02:24,6.824,0.082,0,0,0,0,p,8516945
2021-09-08 02:30,7.057,0.082,0,0,0,0,p,8516945
2021-09-08 02:36,7.283,0.072,0,0,0,0,p,8516945
2021-09-08 02:42,7.461,0.072,0,0,0,0,p,8516945
2021-09-08 02:48,7.648,0.059,0,0,0,0,p,8516945
2021-09-08 02:54,7.822,0.059,0,0,0,0,p,8516945
2021-09-08 03:00,7.966,0.056,0,0,0,0,p,8516945
2021-09-08 03:06,8.104,0.052,0,0,0,0,p,8516945
2021-09-08 03:12,8.225,0.049,1,0,0,0,p,8516945
2021-09-08 03:18,8.337,0.049,1,0,0,0,p,8516945
2021-09-08 03:24,8.425,0.039,0,0,0,0,p,8516945
2021-09-08 03:30,8.504,0.046,0,0,0,0,p,8516945
2021-09-08 03:36,8.553,0.039,0,0,0,0,p,8516945
2021-09-08 03:42,8.593,0.036,0,0,0,0,p,8516945
2021-09-08 03:48,8.629,0.039,0,0,0,0,p,8516945
2021-09-08 03:54,8.645,0.03,0,0,0,0,p,8516945
2021-09-08 04:00,8.645,0.03,0,0,0,0,p,8516945
2021-09-08 04:06,8.648,0.03,0,0,0,0,p,8516945
2021-09-08 04:12,8.655,0.033,1,0,0,0,p,8516945
2021-09-08 04:18,8.655,0.026,0,0,0,0,p,8516945
2021-09-08 04:24,8.668,0.033,1,0,0,0,p,8516945
2021-09-08 04:30,8.681,0.033,1,0,0,0,p,8516945
2021-09-08 04:36,8.688,0.026,1,0,0,0,p,8516945
2021-09-08 04:42,8.694,0.026,0,0,0,0,p,8516945
2021-09-08 04:48,8.698,0.03,1,0,0,0,p,8516945
2021-09-08 04:54,8.701,0.03,0,0,0,0,p,8516945
2021-09-08 05:00,8.701,0.026,0,0,0,0,p,8516945
2021-09-08 05:06,8.707,0.023,1,0,0,0,p,8516945
2021-09-08 05:12,8.711,0.023,1,0,0,0,p,8516945
2021-09-08 05:18,8.694,0.033,0,0,0,0,p,8516945
2021-09-08 05:24,8.661,0.033,0,0,0,0,p,8516945
2021-09-08 05:30,8.629,0.036,0,0,0,0,p,8516945
2021-09-08 05:36,8.593,0.036,1,0,0,0,p,8516945
2021-09-08 05:42,8.543,0.033,0,0,0,0,p,8516945
