Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,2.199,0.079,1,0,0,0,p,9414290
2021-09-08 00:06,2.111,0.082,0,0,0,0,p,9414290
2021-09-08 00:12,2.052,0.072,0,0,0,0,p,9414290
2021-09-08 00:18,1.957,0.072,0,0,0,0,p,9414290
2021-09-08 00:24,1.888,0.066,0,0,0,0,p,9414290
2021-09-08 00:30,1.812,0.112,0,0,0,0,p,9414290
2021-09-08 00:36,1.737,0.108,0,0,0,0,p,9414290
2021-09-08 00:42,1.697,0.079,1,0,0,0,p,9414290
2021-09-08 00:48,1.691,0.095,0,0,0,0,p,9414290
2021-09-08 00:54,1.655,0.098,0,0,0,0,p,9414290
2021-09-08 01:00,1.645,0.095,0,0,0,0,p,9414290
2021-09-08 01:06,1.599,0.131,0,0,0,0,p,9414290
2021-09-08 01:12,1.619,0.108,0,0,0,0,p,9414290
2021-09-08 01:18,1.599,0.095,0,0,0,0,p,9414290
2021-09-08 01:24,1.619,0.089,0,0,0,0,p,9414290
2021-09-08 01:30,1.625,0.079,0,0,0,0,p,9414290
2021-09-08 01:36,1.609,0.075,0,0,0,0,p,9414290
2021-09-08 01:42,1.583,0.082,0,0,0,0,p,9414290
2021-09-08 01:48,1.573,0.085,0,0,0,0,p,9414290
2021-09-08 01:54,1.612,0.092,0,0,0,0,p,9414290
2021-09-08 02:00,1.658,0.089,0,0,0,0,p,9414290
2021-09-08 02:06,1.753,0.082,0,0,0,0,p,9414290
2021-09-08 02:12,1.825,0.082,0,0,0,0,p,9414290
2021-09-08 02:18,1.884,0.098,0,0,0,0,p,9414290
2021-09-08 02:24,1.934,0.082,0,0,0,0,p,9414290
2021-09-08 02:30,1.957,0.102,0,0,0,0,p,9414290
2021-09-08 02:36,1.989,0.089,0,0,0,0,p,9414290
2021-09-08 02:42,2.075,0.089,0,0,0,0,p,9414290
2021-09-08 02:48,2.176,0.075,0,0,0,0,p,9414290
2021-09-08 02:54,2.268,0.069,0,0,0,0,p,9414290
2021-09-08 03:00,2.324,0.072,1,0,0,0,p,9414290
2021-09-08 03:06,2.406,0.082,0,0,0,0,p,9414290
2021-09-08 03:12,2.518,0.085,0,0,0,0,p,9414290
2021-09-08 03:18,2.642,0.075,0,0,0,0,p,9414290
2021-09-08 03:24,2.747,0.072,1,0,0,0,p,9414290
2021-09-08 03:30,2.823,0.072,1,0,0,0,p,9414290
2021-09-08 03:36,2.898,0.072,0,0,0,0,p,9414290
2021-09-08 03:42,2.951,0.085,0,0,0,0,p,9414290
2021-09-08 03:48,3.062,0.062,0,0,0,0,p,9414290
2021-09-08 03:54,3.194,0.089,1,0,0,0,p,9414290
2021-09-08 04:00,3.305,0.092,0,0,0,0,p,9414290
2021-09-08 04:06,3.41,0.072,1,0,0,0,p,9414290
2021-09-08 04:12,3.469,0.075,0,0,0,0,p,9414290
2021-09-08 04:18,3.571,0.092,0,0,0,0,p,9414290
2021-09-08 04:24,3.699,0.082,0,0,0,0,p,9414290
2021-09-08 04:30,3.801,0.066,0,0,0,0,p,9414290
2021-09-08 04:36,3.902,0.089,0,0,0,0,p,9414290
2021-09-08 04:42,3.991,0.069,0,0,0,0,p,9414290
2021-09-08 04:48,4.063,0.069,0,0,0,0,p,9414290
2021-09-08 04:54,4.181,0.092,0,0,0,0,p,9414290
2021-09-08 05:00,4.296,0.102,0,0,0,0,p,9414290
2021-09-08 05:06,4.404,0.082,0,0,0,0,p,9414290
2021-09-08 05:12,4.486,0.075,0,0,0,0,p,9414290
2021-09-08 05:18,4.581,0.075,0,0,0,0,p,9414290
2021-09-08 05:24,4.676,0.102,0,0,0,0,p,9414290
2021-09-08 05:30,4.804,0.069,0,0,0,0,p,9414290
2021-09-08 05:36,4.909,0.108,1,0,0,0,p,9414290
2021-09-08 05:42,4.995,0.112,0,0,0,0,p,9414290
2021-09-08 05:48,5.077,0.082,0,0,0,0,p,9414290
2021-09-08 05:54,5.159,0.072,0,0,0,0,p,9414290
2021-09-08 06:00,5.201,0.079,0,0,0,0,p,9414290
2021-09-08 06:06,5.3,0.075,0,0,0,0,p,9414290
2021-09-08 06:12,5.372,0.062,1,0,0,0,p,9414290
2021-09-08 06:18,5.418,0.069,0,0,0,0,p,9414290
2021-09-08 06:24,5.503,0.072,0,0,0,0,p,9414290
2021-09-08 06:30,5.585,0.092,0,0,0,0,p,9414290
2021-09-08 06:36,5.674,0.082,0,0,0,0,p,9414290
2021-09-08 06:42,5.762,0.089,0,0,0,0,p,9414290
2021-09-08 06:48,5.825,0.085,0,0,0,0,p,9414290
2021-09-08 06:54,5.877,0.082,0,0,0,0,p,9414290
2021-09-08 07:00,5.907,0.072,0,0,0,0,p,9414290
2021-09-08 07:06,5.956,0.072,0,0,0,0,p,9414290
2021-09-08 07:12,5.972,0.075,0,0,0,0,p,9414290
2021-09-08 07:18,6.005,0.049,0,0,0,0,p,9414290
2021-09-08 07:24,6.041,0.075,1,0,0,0,p,9414290
2021-09-08 07:30,6.081,0.075,0,0,0,0,p,9414290
2021-09-08 07:36,6.081,0.066,0,0,0,0,p,9414290
2021-09-08 07:42,6.081,0.085,0,0,0,0,p,9414290
2021-09-08 07:48,6.051,0.075,0,0,0,0,p,9414290
2021-09-08 07:54,6.051,0.056,1,0,0,0,p,9414290
2021-09-08 08:00,6.058,0.105,0,0,0,0,p,9414290
2021-09-08 08:06,6.061,0.072,1,0,0,0,p,9414290
2021-09-08 08:12,6.041,0.092,0,0,0,0,p,9414290
2021-09-08 08:18,5.976,0.105,0,0,0,0,p,9414290
2021-09-08 08:24,5.913,0.079,0,0,0,0,p,9414290
2021-09-08 08:30,5.848,0.062,0,0,0,0,p,9414290
2021-09-08 08:36,5.821,0.098,0,0,0,0,p,9414290
2021-09-08 08:42,5.776,0.066,0,0,0,0,p,9414290
2021-09-08 08:48,5.713,0.072,0,0,0,0,p,9414290
2021-09-08 08:54,5.631,0.092,1,0,0,0,p,9414290
2021-09-08 09:00,5.543,0.085,0,0,0,0,p,9414290
2021-09-08 09:06,5.434,0.102,0,0,0,0,p,9414290
2021-09-08 09:12,5.336,0.062,0,0,0,0,p,9414290
2021-09-08 09:18,5.238,0.069,0,0,0,0,p,9414290
2021-09-08 09:24,5.103,0.121,0,0,0,0,p,9414290
2021-09-08 09:30,4.978,0.075,1,0,0,0,p,9414290
2021-09-08 09:36,4.86,0.079,1,0,0,0,p,9414290
2021-09-08 09:42,4.726,0.079,0,0,0,0,p,9414290
2021-09-08 09:48,4.601,0.062,1,0,0,0,p,9414290
2021-09-08 09:54,4.473,0.085,0,0,0,0,p,9414290
2021-09-08 10:00,4.322,0.082,1,0,0,0,p,9414290
2021-09-08 10:06,4.194,0.069,0,0,0,0,p,9414290
2021-09-08 10:12,4.027,0.079,0,0,0,0,p,9414290
2021-09-08 10:18,3.856,0.079,0,0,0,0,p,9414290
2021-09-08 10:24,3.699,0.066,0,0,0,0,p,9414290
2021-09-08 10:30,3.561,0.069,0,0,0,0,p,9414290
2021-09-08 10:36,3.413,0.079,0,0,0,0,p,9414290
2021-09-08 10:42,3.289,0.085,0,0,0,0,p,9414290
2021-09-08 10:48,3.138,0.079,1,0,0,0,p,9414290
2021-09-08 10:54,2.97,0.075,0,0,0,0,p,9414290
2021-09-08 11:00,2.81,0.075,0,0,0,0,p,9414290
2021-09-08 11:06,2.636,0.079,0,0,0,0,p,9414290
2021-09-08 11:12,2.491,0.089,1,0,0,0,p,9414290
2021-09-08 11:18,2.331,0.079,0,0,0,0,p,9414290
2021-09-08 11:24,2.183,0.085,0,0,0,0,p,9414290
2021-09-08 11:30,2.042,0.085,0,0,0,0,p,9414290
2021-09-08 11:36,1.901,0.085,1,0,0,0,p,9414290
2021-09-08 11:42,1.799,0.069,0,0,0,0,p,9414290
