Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,6.123,0.02,1,0,0,0,p,9444090
2021-09-08 00:06,6.061,0.01,0,0,0,0,p,9444090
2021-09-08 00:12,6.064,0.01,1,0,0,0,p,9444090
2021-09-08 00:18,6.018,0.016,1,0,0,0,p,9444090
2021-09-08 00:24,5.906,0.013,1,0,0,0,p,9444090
2021-09-08 00:30,5.854,0.01,1,0,0,0,p,9444090
2021-09-08 00:36,5.847,0.013,1,0,0,0,p,9444090
2021-09-08 00:42,5.788,0.016,1,0,0,0,p,9444090
2021-09-08 00:48,5.67,0.016,1,0,0,0,p,9444090
2021-09-08 00:54,5.595,0.01,1,0,0,0,p,9444090
2021-09-08 01:00,5.578,0.01,1,0,0,0,p,9444090
2021-09-08 01:06,5.5,0.049,1,0,0,0,p,9444090
2021-09-08 01:12,5.368,0.02,0,0,0,0,p,9444090
2021-09-08 01:18,5.339,0.013,1,0,0,0,p,9444090
2021-09-08 01:24,5.329,0.01,1,0,0,0,p,9444090
2021-09-08 01:30,5.26,0.02,0,0,0,0,p,9444090
2021-09-08 01:36,5.109,0.016,1,0,0,0,p,9444090
2021-09-08 01:42,5.067,0.01,0,0,0,0,p,9444090
2021-09-08 01:48,5.083,0.01,1,0,0,0,p,9444090
2021-09-08 01:54,5.047,0.016,0,0,0,0,p,9444090
2021-09-08 02:00,4.919,0.02,0,0,0,0,p,9444090
2021-09-08 02:06,4.863,0.01,1,0,0,0,p,9444090
2021-09-08 02:12,4.866,0.01,1,0,0,0,p,9444090
2021-09-08 02:18,4.801,0.016,1,0,0,0,p,9444090
2021-09-08 02:24,4.696,0.013,0,0,0,0,p,9444090
2021-09-08 02:30,4.653,0.016,1,0,0,0,p,9444090
2021-09-08 02:36,4.607,0.013,1,0,0,0,p,9444090
2021-09-08 02:42,4.522,0.016,1,0,0,0,p,9444090
2021-09-08 02:48,4.473,0.013,1,0,0,0,p,9444090
2021-09-08 02:54,4.437,0.016,1,0,0,0,p,9444090
2021-09-08 03:00,4.358,0.016,1,0,0,0,p,9444090
2021-09-08 03:06,4.259,0.016,0,0,0,0,p,9444090
2021-09-08 03:12,4.174,0.013,1,0,0,0,p,9444090
2021-09-08 03:18,4.131,0.013,1,0,0,0,p,9444090
2021-09-08 03:24,4.049,0.033,1,0,0,0,p,9444090
2021-09-08 03:30,3.908,0.02,1,0,0,0,p,9444090
2021-09-08 03:36,3.803,0.013,1,0,0,0,p,9444090
2021-09-08 03:42,3.774,0.03,0,0,0,0,p,9444090
2021-09-08 03:48,3.751,0.02,1,0,0,0,p,9444090
2021-09-08 03:54,3.646,0.059,0,0,0,0,p,9444090
2021-09-08 04:00,3.538,0.059,0,0,0,0,p,9444090
