Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,1.253,0.013,0,0,0,0,p,8726520
2021-09-08 00:06,1.214,0.013,0,0,0,0,p,8726520
2021-09-08 00:12,1.171,0.016,0,0,0,0,p,8726520
2021-09-08 00:18,1.132,0.01,1,0,0,0,p,8726520
2021-09-08 00:24,1.102,0.007,1,0,0,0,p,8726520
2021-09-08 00:30,1.066,0.01,1,0,0,0,p,8726520
2021-09-08 00:36,1.04,0.01,0,0,0,0,p,8726520
2021-09-08 00:42,1.014,0.007,0,0,0,0,p,8726520
2021-09-08 00:48,0.984,0.01,0,0,0,0,p,8726520
2021-09-08 00:54,0.955,0.007,0,0,0,0,p,8726520
2021-09-08 01:00,0.935,0.007,0,0,0,0,p,8726520
2021-09-08 01:06,0.906,0.01,1,0,0,0,p,8726520
2021-09-08 01:12,0.886,0.007,1,0,0,0,p,8726520
2021-09-08 01:18,0.873,0.007,0,0,0,0,p,8726520
2021-09-08 01:24,0.85,0.007,1,0,0,0,p,8726520
2021-09-08 01:30,0.84,0.003,0,0,0,0,p,8726520
2021-09-08 01:36,0.833,0.003,1,0,0,0,p,8726520
2021-09-08 01:42,0.837,0.003,1,0,0,0,p,8726520
2021-09-08 01:48,0.84,0.003,0,0,0,0,p,8726520
2021-09-08 01:54,0.85,0.003,0,0,0,0,p,8726520
2021-09-08 02:00,0.856,0.003,0,0,0,0,p,8726520
2021-09-08 02:06,0.873,0.007,0,0,0,0,p,8726520
2021-09-08 02:12,0.889,0.003,0,0,0,0,p,8726520
2021-09-08 02:18,0.899,0.003,0,0,0,0,p,8726520
2021-09-08 02:24,0.919,0.01,0,0,0,0,p,8726520
2021-09-08 02:30,0.951,0.007,0,0,0,0,p,8726520
2021-09-08 02:36,0.971,0.01,0,0,0,0,p,8726520
2021-09-08 02:42,1.007,0.01,0,0,0,0,p,8726520
2021-09-08 02:48,1.04,0.007,0,0,0,0,p,8726520
2021-09-08 02:54,1.07,0.01,0,0,0,0,p,8726520
2021-09-08 03:00,1.102,0.007,0,0,0,0,p,8726520
2021-09-08 03:06,1.129,0.01,0,0,0,0,p,8726520
2021-09-08 03:12,1.165,0.007,0,0,0,0,p,8726520
2021-09-08 03:18,1.191,0.007,0,0,0,0,p,8726520
2021-09-08 03:24,1.227,0.01,0,0,0,0,p,8726520
2021-09-08 03:30,1.257,0.003,0,0,0,0,p,8726520
2021-09-08 03:36,1.283,0.01,0,0,0,0,p,8726520
2021-09-08 03:42,1.319,0.01,0,0,0,0,p,8726520
2021-09-08 03:48,1.348,0.007,0,0,0,0,p,8726520
2021-09-08 03:54,1.378,0.016,0,0,0,0,p,8726520
2021-09-08 04:00,1.424,0.01,0,0,0,0,p,8726520
2021-09-08 04:06,1.453,0.01,0,0,0,0,p,8726520
2021-09-08 04:12,1.493,0.013,0,0,0,0,p,8726520
2021-09-08 04:18,1.532,0.01,0,0,0,0,p,8726520
2021-09-08 04:24,1.568,0.01,0,0,0,0,p,8726520
2021-09-08 04:30,1.601,0.01,0,0,0,0,p,8726520
2021-09-08 04:36,1.637,0.013,0,0,0,0,p,8726520
2021-09-08 04:42,1.68,0.013,0,0,0,0,p,8726520
2021-09-08 04:48,1.729,0.016,0,0,0,0,p,8726520
2021-09-08 04:54,1.778,0.013,0,0,0,0,p,8726520
2021-09-08 05:00,1.824,0.013,0,0,0,0,p,8726520
2021-09-08 05:06,1.873,0.013,0,0,0,0,p,8726520
2021-09-08 05:12,1.916,0.013,0,0,0,0,p,8726520
2021-09-08 05:18,1.955,0.01,0,0,0,0,p,8726520
2021-09-08 05:24,1.991,0.01,0,0,0,0,p,8726520
2021-09-08 05:30,2.031,0.01,0,0,0,0,p,8726520
2021-09-08 05:36,2.073,0.013,0,0,0,0,p,8726520
2021-09-08 05:42,2.116,0.01,0,0,0,0,p,8726520
2021-09-08 05:48,2.159,0.02,0,0,0,0,p,8726520
2021-09-08 05:54,2.241,0.026,0,0,0,0,p,8726520
2021-09-08 06:00,2.316,0.023,0,0,0,0,p,8726520
2021-09-08 06:06,2.359,0.013,1,0,0,0,p,8726520
2021-09-08 06:12,2.339,0.013,1,0,0,0,p,8726520
2021-09-08 06:18,2.349,0.02,0,0,0,0,p,8726520
