Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,1.447,0.02,1,0,0,0,p,8779748
2021-09-08 00:06,1.421,0.023,0,0,0,0,p,8779748
2021-09-08 00:12,1.398,0.023,1,0,0,0,p,8779748
2021-09-08 00:18,1.345,0.016,1,0,0,0,p,8779748
2021-09-08 00:24,1.299,0.03,0,0,0,0,p,8779748
2021-09-08 00:30,1.263,0.026,0,0,0,0,p,8779748
2021-09-08 00:36,1.204,0.026,1,0,0,0,p,8779748
2021-09-08 00:42,1.148,0.033,0,0,0,0,p,8779748
2021-09-08 00:48,1.145,0.023,1,0,0,0,p,8779748
2021-09-08 00:54,1.181,0.026,1,0,0,0,p,8779748
2021-09-08 01:00,1.132,0.03,1,0,0,0,p,8779748
2021-09-08 01:06,1.119,0.033,1,0,0,0,p,8779748
2021-09-08 01:12,1.115,0.033,0,0,0,0,p,8779748
2021-09-08 01:18,1.135,0.026,1,0,0,0,p,8779748
2021-09-08 01:24,1.119,0.03,0,0,0,0,p,8779748
2021-09-08 01:30,1.106,0.036,1,0,0,0,p,8779748
2021-09-08 01:36,1.083,0.023,1,0,0,0,p,8779748
2021-09-08 01:42,1.06,0.049,1,0,0,0,p,8779748
2021-09-08 01:48,1.053,0.033,0,0,0,0,p,8779748
2021-09-08 01:54,1.043,0.039,0,0,0,0,p,8779748
2021-09-08 02:00,1.053,0.039,0,0,0,0,p,8779748
2021-09-08 02:06,1.027,0.03,0,0,0,0,p,8779748
2021-09-08 02:12,1.047,0.03,0,0,0,0,p,8779748
2021-09-08 02:18,1.083,0.033,0,0,0,0,p,8779748
2021-09-08 02:24,1.073,0.033,1,0,0,0,p,8779748
2021-09-08 02:30,1.07,0.03,0,0,0,0,p,8779748
2021-09-08 02:36,1.027,0.033,0,0,0,0,p,8779748
2021-09-08 02:42,1.04,0.03,1,0,0,0,p,8779748
2021-09-08 02:48,1.03,0.03,0,0,0,0,p,8779748
2021-09-08 02:54,1.037,0.023,0,0,0,0,p,8779748
2021-09-08 03:00,1.014,0.026,1,0,0,0,p,8779748
2021-09-08 03:06,0.984,0.023,1,0,0,0,p,8779748
2021-09-08 03:12,0.981,0.023,0,0,0,0,p,8779748
2021-09-08 03:18,0.981,0.026,0,0,0,0,p,8779748
2021-09-08 03:24,0.958,0.02,1,0,0,0,p,8779748
2021-09-08 03:30,0.938,0.02,0,0,0,0,p,8779748
2021-09-08 03:36,0.902,0.02,0,0,0,0,p,8779748
2021-09-08 03:42,0.906,0.023,0,0,0,0,p,8779748
2021-09-08 03:48,0.889,0.023,0,0,0,0,p,8779748
2021-09-08 03:54,0.902,0.02,0,0,0,0,p,8779748
2021-09-08 04:00,0.892,0.02,0,0,0,0,p,8779748
2021-09-08 04:06,0.896,0.023,0,0,0,0,p,8779748
2021-09-08 04:12,0.886,0.026,0,0,0,0,p,8779748
2021-09-08 04:18,0.912,0.02,0,0,0,0,p,8779748
2021-09-08 04:24,0.902,0.026,0,0,0,0,p,8779748
2021-09-08 04:30,0.899,0.023,1,0,0,0,p,8779748
2021-09-08 04:36,0.892,0.026,0,0,0,0,p,8779748
2021-09-08 04:42,0.899,0.026,0,0,0,0,p,8779748
2021-09-08 04:48,0.899,0.023,1,0,0,0,p,8779748
2021-09-08 04:54,0.925,0.026,0,0,0,0,p,8779748
2021-09-08 05:00,0.945,0.03,0,0,0,0,p,8779748
2021-09-08 05:06,0.984,0.023,0,0,0,0,p,8779748
2021-09-08 05:12,1.024,0.03,0,0,0,0,p,8779748
2021-09-08 05:18,1.047,0.026,0,0,0,0,p,8779748
2021-09-08 05:24,1.079,0.03,0,0,0,0,p,8779748
2021-09-08 05:30,1.066,0.023,0,0,0,0,p,8779748
2021-09-08 05:36,1.066,0.016,0,0,0,0,p,8779748
2021-09-08 05:42,1.083,0.016,0,0,0,0,p,8779748
2021-09-08 05:48,1.102,0.016,0,0,0,0,p,8779748
