Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,0.883,0.003,0,0,0,0,p,8773146
2021-09-08 00:06,0.863,0.007,0,0,0,0,p,8773146
2021-09-08 00:12,0.856,0.013,0,0,0,0,p,8773146
2021-09-08 00:18,0.846,0.003,1,0,0,0,p,8773146
2021-09-08 00:24,0.889,0.007,1,0,0,0,p,8773146
2021-09-08 00:30,0.883,0.01,0,0,0,0,p,8773146
2021-09-08 00:36,0.846,0.007,0,0,0,0,p,8773146
2021-09-08 00:42,0.82,0.013,0,0,0,0,p,8773146
2021-09-08 00:48,0.778,0.033,0,0,0,0,p,8773146
2021-09-08 00:54,0.791,0.023,1,0,0,0,p,8773146
2021-09-08 01:00,0.869,0.013,1,0,0,0,p,8773146
2021-09-08 01:06,0.853,0.01,1,0,0,0,p,8773146
2021-09-08 01:12,0.771,0.026,0,0,0,0,p,8773146
2021-09-08 01:18,0.778,0.036,0,0,0,0,p,8773146
2021-09-08 01:24,0.807,0.033,0,0,0,0,p,8773146
2021-09-08 01:30,0.807,0.026,0,0,0,0,p,8773146
2021-09-08 01:36,0.81,0.016,0,0,0,0,p,8773146
2021-09-08 01:42,0.804,0.016,0,0,0,0,p,8773146
2021-09-08 01:48,0.807,0.013,0,0,0,0,p,8773146
2021-09-08 01:54,0.735,0.02,0,0,0,0,p,8773146
2021-09-08 02:00,0.715,0.01,0,0,0,0,p,8773146
2021-09-08 02:06,0.702,0.007,1,0,0,0,p,8773146
2021-09-08 02:12,0.738,0.01,0,0,0,0,p,8773146
2021-09-08 02:18,0.719,0.003,0,0,0,0,p,8773146
2021-09-08 02:24,0.725,0.003,0,0,0,0,p,8773146
2021-09-08 02:30,0.725,0.007,0,0,0,0,p,8773146
2021-09-08 02:36,0.738,0.01,0,0,0,0,p,8773146
2021-09-08 02:42,0.741,0.01,0,0,0,0,p,8773146
2021-09-08 02:48,0.751,0.013,0,0,0,0,p,8773146
2021-09-08 02:54,0.699,0.013,0,0,0,0,p,8773146
2021-09-08 03:00,0.676,0.007,1,0,0,0,p,8773146
2021-09-08 03:06,0.682,0.01,0,0,0,0,p,8773146
