Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,1.641,0.043,1,0,0,0,p,1612340
2021-09-08 00:06,1.664,0.056,1,0,0,0,p,1612340
2021-09-08 00:12,1.729,0.056,1,0,0,0,p,1612340
2021-09-08 00:18,1.752,0.052,1,0,0,0,p,1612340
2021-09-08 00:24,1.746,0.056,1,0,0,0,p,1612340
2021-09-08 00:30,1.831,0.059,1,0,0,0,p,1612340
2021-09-08 00:36,1.893,0.049,1,0,0,0,p,1612340
2021-09-08 00:42,1.893,0.046,1,0,0,0,p,1612340
2021-09-08 00:48,1.962,0.062,1,0,0,0,p,1612340
2021-09-08 00:54,2.002,0.056,1,0,0,0,p,1612340
2021-09-08 01:00,2.041,0.046,1,0,0,0,p,1612340
2021-09-08 01:06,2.034,0.052,1,0,0,0,p,1612340
2021-09-08 01:12,2.09,0.052,1,0,0,0,p,1612340
2021-09-08 01:18,2.139,0.046,0,0,0,0,p,1612340
2021-09-08 01:24,2.143,0.059,1,0,0,0,p,1612340
2021-09-08 01:30,2.172,0.062,1,0,0,0,p,1612340
2021-09-08 01:36,2.274,0.052,1,0,0,0,p,1612340
2021-09-08 01:42,2.251,0.059,1,0,0,0,p,1612340
2021-09-08 01:48,2.244,0.059,1,0,0,0,p,1612340
2021-09-08 01:54,2.29,0.049,1,0,0,0,p,1612340
2021-09-08 02:00,2.333,0.056,1,0,0,0,p,1612340
2021-09-08 02:06,2.294,0.049,0,0,0,0,p,1612340
2021-09-08 02:12,2.297,0.049,1,0,0,0,p,1612340
2021-09-08 02:18,2.333,0.049,0,0,0,0,p,1612340
2021-09-08 02:24,2.339,0.043,1,0,0,0,p,1612340
2021-09-08 02:30,2.323,0.049,1,0,0,0,p,1612340
2021-09-08 02:36,2.323,0.046,1,0,0,0,p,1612340
2021-09-08 02:42,2.353,0.046,0,0,0,0,p,1612340
2021-09-08 02:48,2.323,0.056,0,0,0,0,p,1612340
2021-09-08 02:54,2.31,0.039,1,0,0,0,p,1612340
2021-09-08 03:00,2.313,0.046,1,0,0,0,p,1612340
2021-09-08 03:06,2.303,0.043,0,0,0,0,p,1612340
2021-09-08 03:12,2.264,0.049,1,0,0,0,p,1612340
2021-09-08 03:18,2.277,0.046,0,0,0,0,p,1612340
2021-09-08 03:24,2.218,0.043,1,0,0,0,p,1612340
2021-09-08 03:30,2.185,0.039,1,0,0,0,p,1612340
2021-09-08 03:36,2.166,0.046,1,0,0,0,p,1612340
2021-09-08 03:42,2.146,0.043,1,0,0,0,p,1612340
2021-09-08 03:48,2.097,0.043,0,0,0,0,p,1612340
2021-09-08 03:54,2.054,0.046,1,0,0,0,p,1612340
2021-09-08 04:00,2.074,0.046,0,0,0,0,p,1612340
2021-09-08 04:06,1.979,0.039,1,0,0,0,p,1612340
2021-09-08 04:12,1.939,0.039,1,0,0,0,p,1612340
2021-09-08 04:18,1.969,0.049,1,0,0,0,p,1612340
2021-09-08 04:24,1.913,0.043,1,0,0,0,p,1612340
2021-09-08 04:30,1.851,0.036,1,0,0,0,p,1612340
2021-09-08 04:36,1.841,0.046,1,0,0,0,p,1612340
2021-09-08 04:42,1.818,0.046,0,0,0,0,p,1612340
2021-09-08 04:48,1.752,0.046,1,0,0,0,p,1612340
2021-09-08 04:54,1.726,0.043,1,0,0,0,p,1612340
2021-09-08 05:00,1.703,0.036,1,0,0,0,p,1612340
2021-09-08 05:06,1.634,0.052,1,0,0,0,p,1612340
2021-09-08 05:12,1.588,0.046,1,0,0,0,p,1612340
2021-09-08 05:18,1.532,0.046,1,0,0,0,p,1612340
2021-09-08 05:24,1.477,0.046,1,0,0,0,p,1612340
2021-09-08 05:30,1.45,0.046,1,0,0,0,p,1612340
2021-09-08 05:36,1.418,0.039,1,0,0,0,p,1612340
2021-09-08 05:42,1.352,0.043,1,0,0,0,p,1612340
2021-09-08 05:48,1.322,0.046,1,0,0,0,p,1612340
2021-09-08 05:54,1.273,0.046,1,0,0,0,p,1612340
2021-09-08 06:00,1.227,0.046,1,0,0,0,p,1612340
2021-09-08 06:06,1.165,0.049,0,0,0,0,p,1612340
2021-09-08 06:12,1.109,0.069,1,0,0,0,p,1612340
2021-09-08 06:18,1.053,0.049,1,0,0,0,p,1612340
2021-09-08 06:24,1.03,0.046,1,0,0,0,p,1612340
2021-09-08 06:30,0.991,0.043,1,0,0,0,p,1612340
2021-09-08 06:36,0.968,0.043,1,0,0,0,p,1612340
2021-09-08 06:42,0.942,0.056,1,0,0,0,p,1612340
2021-09-08 06:48,0.886,0.046,1,0,0,0,p,1612340
2021-09-08 06:54,0.856,0.043,1,0,0,0,p,1612340
2021-09-08 07:00,0.791,0.039,1,0,0,0,p,1612340
2021-09-08 07:06,0.781,0.039,1,0,0,0,p,1612340
2021-09-08 07:12,0.729,0.046,1,0,0,0,p,1612340
2021-09-08 07:18,0.692,0.046,1,0,0,0,p,1612340
2021-09-08 07:24,0.65,0.046,1,0,0,0,p,1612340
2021-09-08 07:30,0.64,0.036,1,0,0,0,p,1612340
2021-09-08 07:36,0.604,0.043,1,0,0,0,p,1612340
2021-09-08 07:42,0.538,0.049,1,0,0,0,p,1612340
2021-09-08 07:48,0.482,0.043,1,0,0,0,p,1612340
2021-09-08 07:54,0.456,0.039,1,0,0,0,p,1612340
2021-09-08 08:00,0.446,0.043,1,0,0,0,p,1612340
2021-09-08 08:06,0.42,0.043,1,0,0,0,p,1612340
2021-09-08 08:12,0.374,0.049,1,0,0,0,p,1612340
2021-09-08 08:18,0.381,0.046,1,0,0,0,p,1612340
2021-09-08 08:24,0.355,0.049,1,0,0,0,p,1612340
2021-09-08 08:30,0.322,0.043,1,0,0,0,p,1612340
2021-09-08 08:36,0.305,0.046,1,0,0,0,p,1612340
2021-09-08 08:42,0.312,0.039,1,0,0,0,p,1612340
2021-09-08 08:48,0.318,0.039,1,0,0,0,p,1612340
2021-09-08 08:54,0.312,0.043,1,0,0,0,p,1612340
2021-09-08 09:00,0.269,0.043,0,0,0,0,p,1612340
2021-09-08 09:06,0.295,0.039,1,0,0,0,p,1612340
2021-09-08 09:12,0.289,0.046,1,0,0,0,p,1612340
2021-09-08 09:18,0.269,0.049,1,0,0,0,p,1612340
2021-09-08 09:24,0.259,0.043,1,0,0,0,p,1612340
2021-09-08 09:30,0.286,0.052,1,0,0,0,p,1612340
2021-09-08 09:36,0.269,0.036,1,0,0,0,p,1612340
2021-09-08 09:42,0.273,0.033,1,0,0,0,p,1612340
2021-09-08 09:48,0.332,0.043,1,0,0,0,p,1612340
2021-09-08 09:54,0.312,0.046,1,0,0,0,p,1612340
2021-09-08 10:00,0.328,0.046,1,0,0,0,p,1612340
2021-09-08 10:06,0.332,0.052,1,0,0,0,p,1612340
2021-09-08 10:12,0.387,0.052,1,0,0,0,p,1612340
2021-09-08 10:18,0.407,0.046,1,0,0,0,p,1612340
2021-09-08 10:24,0.446,0.046,1,0,0,0,p,1612340
2021-09-08 10:30,0.46,0.052,0,0,0,0,p,1612340
2021-09-08 10:36,0.538,0.052,1,0,0,0,p,1612340
2021-09-08 10:42,0.584,0.052,1,0,0,0,p,1612340
2021-09-08 10:48,0.578,0.036,1,0,0,0,p,1612340
2021-09-08 10:54,0.617,0.043,1,0,0,0,p,1612340
2021-09-08 11:00,0.63,0.052,1,0,0,0,p,1612340
2021-09-08 11:06,0.696,0.046,1,0,0,0,p,1612340
2021-09-08 11:12,0.742,0.043,1,0,0,0,p,1612340
