Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,-2.871,0.02,1,0,0,0,p,8761955
2021-09-08 00:06,-2.9,0.02,1,0,0,0,p,8761955
2021-09-08 00:12,-2.949,0.052,0,0,0,0,p,8761955
2021-09-08 00:18,-2.904,0.023,1,0,0,0,p,8761955
2021-09-08 00:24,-2.93,0.03,0,0,0,0,p,8761955
2021-09-08 00:30,-2.917,0.023,1,0,0,0,p,8761955
2021-09-08 00:36,-2.933,0.016,1,0,0,0,p,8761955
2021-09-08 00:42,-2.943,0.016,1,0,0,0,p,8761955
2021-09-08 00:48,-2.946,0.02,1,0,0,0,p,8761955
2021-09-08 00:54,-2.959,0.02,1,0,0,0,p,8761955
2021-09-08 01:00,-2.946,0.023,0,0,0,0,p,8761955
2021-09-08 01:06,-2.949,0.016,1,0,0,0,p,8761955
2021-09-08 01:12,-2.959,0.016,0,0,0,0,p,8761955
2021-09-08 01:18,-2.969,0.013,1,0,0,0,p,8761955
2021-09-08 01:24,-2.976,0.016,1,0,0,0,p,8761955
2021-09-08 01:30,-2.999,0.016,0,0,0,0,p,8761955
2021-09-08 01:36,-3.018,0.013,0,0,0,0,p,8761955
2021-09-08 01:42,-3.031,0.013,0,0,0,0,p,8761955
2021-09-08 01:48,-3.054,0.01,0,0,0,0,p,8761955
2021-09-08 01:54,-3.051,0.01,0,0,0,0,p,8761955
2021-09-08 02:00,-3.051,0.026,1,0,0,0,p,8761955
2021-09-08 02:06,-3.084,0.02,0,0,0,0,p,8761955
2021-09-08 02:12,-3.077,0.02,1,0,0,0,p,8761955
2021-09-08 02:18,-3.1,0.013,1,0,0,0,p,8761955
2021-09-08 02:24,-3.117,0.013,1,0,0,0,p,8761955
2021-09-08 02:30,-3.123,0.01,1,0,0,0,p,8761955
2021-09-08 02:36,-3.143,0.023,1,0,0,0,p,8761955
2021-09-08 02:42,-3.143,0.013,0,0,0,0,p,8761955
2021-09-08 02:48,-3.143,0.013,0,0,0,0,p,8761955
2021-09-08 02:54,-3.143,0.016,1,0,0,0,p,8761955
2021-09-08 03:00,-3.153,0.01,0,0,0,0,p,8761955
2021-09-08 03:06,-3.166,0.01,1,0,0,0,p,8761955
2021-09-08 03:12,-3.169,0.007,0,0,0,0,p,8761955
2021-09-08 03:18,-3.196,0.01,1,0,0,0,p,8761955
2021-09-08 03:24,-3.196,0.039,0,0,0,0,p,8761955
2021-09-08 03:30,-3.192,0.016,0,0,0,0,p,8761955
2021-09-08 03:36,-3.209,0.016,0,0,0,0,p,8761955
2021-09-08 03:42,-3.222,0.01,1,0,0,0,p,8761955
2021-09-08 03:48,-3.232,0.016,0,0,0,0,p,8761955
2021-09-08 03:54,-3.241,0.013,0,0,0,0,p,8761955
2021-09-08 04:00,-3.245,0.01,0,0,0,0,p,8761955
2021-09-08 04:06,-3.255,0.01,1,0,0,0,p,8761955
2021-09-08 04:12,-3.255,0.007,1,0,0,0,p,8761955
2021-09-08 04:18,-3.271,0.007,1,0,0,0,p,8761955
2021-09-08 04:24,-3.261,0.01,0,0,0,0,p,8761955
2021-09-08 04:30,-3.287,0.007,1,0,0,0,p,8761955
2021-09-08 04:36,-3.291,0.01,1,0,0,0,p,8761955
2021-09-08 04:42,-3.314,0.026,0,0,0,0,p,8761955
2021-09-08 04:48,-3.287,0.03,1,0,0,0,p,8761955
2021-09-08 04:54,-3.297,0.02,1,0,0,0,p,8761955
2021-09-08 05:00,-3.291,0.02,0,0,0,0,p,8761955
2021-09-08 05:06,-3.297,0.016,1,0,0,0,p,8761955
2021-09-08 05:12,-3.301,0.013,1,0,0,0,p,8761955
2021-09-08 05:18,-3.304,0.016,1,0,0,0,p,8761955
2021-09-08 05:24,-3.301,0.02,0,0,0,0,p,8761955
2021-09-08 05:30,-3.314,0.016,1,0,0,0,p,8761955
2021-09-08 05:36,-3.314,0.013,0,0,0,0,p,8761955
2021-09-08 05:42,-3.317,0.013,1,0,0,0,p,8761955
2021-09-08 05:48,-3.323,0.013,0,0,0,0,p,8761955
2021-09-08 05:54,-3.327,0.01,1,0,0,0,p,8761955
2021-09-08 06:00,-3.33,0.01,1,0,0,0,p,8761955
2021-09-08 06:06,-3.333,0.03,1,0,0,0,p,8761955
2021-09-08 06:12,-3.327,0.026,1,0,0,0,p,8761955
2021-09-08 06:18,-3.327,0.023,1,0,0,0,p,8761955
2021-09-08 06:24,-3.337,0.026,1,0,0,0,p,8761955
2021-09-08 06:30,-3.34,0.013,1,0,0,0,p,8761955
2021-09-08 06:36,-3.346,0.013,1,0,0,0,p,8761955
2021-09-08 06:42,-3.356,0.013,1,0,0,0,p,8761955
2021-09-08 06:48,-3.35,0.013,1,0,0,0,p,8761955
2021-09-08 06:54,-3.356,0.013,1,0,0,0,p,8761955
2021-09-08 07:00,-3.36,0.01,1,0,0,0,p,8761955
2021-09-08 07:06,-3.346,0.013,0,0,0,0,p,8761955
2021-09-08 07:12,-3.356,0.01,0,0,0,0,p,8761955
2021-09-08 07:18,-3.356,0.01,1,0,0,0,p,8761955
2021-09-08 07:24,-3.366,0.007,1,0,0,0,p,8761955
2021-09-08 07:30,-3.36,0.007,0,0,0,0,p,8761955
2021-09-08 07:36,-3.353,0.007,1,0,0,0,p,8761955
2021-09-08 07:42,-3.35,0.007,1,0,0,0,p,8761955
2021-09-08 07:48,-3.346,0.007,1,0,0,0,p,8761955
2021-09-08 07:54,-3.353,0.01,1,0,0,0,p,8761955
2021-09-08 08:00,-3.353,0.007,1,0,0,0,p,8761955
2021-09-08 08:06,-3.353,0.007,0,0,0,0,p,8761955
2021-09-08 08:12,-3.35,0.007,0,0,0,0,p,8761955
2021-09-08 08:18,-3.346,0.007,1,0,0,0,p,8761955
2021-09-08 08:24,-3.346,0.007,1,0,0,0,p,8761955
2021-09-08 08:30,-3.34,0.013,1,0,0,0,p,8761955
2021-09-08 08:36,-3.337,0.013,0,0,0,0,p,8761955
2021-09-08 08:42,-3.33,0.013,1,0,0,0,p,8761955
2021-09-08 08:48,-3.333,0.013,0,0,0,0,p,8761955
2021-09-08 08:54,-3.337,0.01,1,0,0,0,p,8761955
2021-09-08 09:00,-3.314,0.01,1,0,0,0,p,8761955
2021-09-08 09:06,-3.32,0.007,1,0,0,0,p,8761955
2021-09-08 09:12,-3.333,0.01,1,0,0,0,p,8761955
2021-09-08 09:18,-3.31,0.02,1,0,0,0,p,8761955
2021-09-08 09:24,-3.31,0.016,1,0,0,0,p,8761955
2021-09-08 09:30,-3.317,0.023,0,0,0,0,p,8761955
2021-09-08 09:36,-3.314,0.013,0,0,0,0,p,8761955
2021-09-08 09:42,-3.304,0.013,1,0,0,0,p,8761955
2021-09-08 09:48,-3.294,0.013,1,0,0,0,p,8761955
2021-09-08 09:54,-3.284,0.01,0,0,0,0,p,8761955
2021-09-08 10:00,-3.278,0.01,0,0,0,0,p,8761955
2021-09-08 10:06,-3.284,0.01,1,0,0,0,p,8761955
2021-09-08 10:12,-3.274,0.01,0,0,0,0,p,8761955
2021-09-08 10:18,-3.291,0.01,0,0,0,0,p,8761955
2021-09-08 10:24,-3.284,0.01,0,0,0,0,p,8761955
2021-09-08 10:30,-3.281,0.01,0,0,0,0,p,8761955
2021-09-08 10:36,-3.278,0.01,0,0,0,0,p,8761955
2021-09-08 10:42,-3.271,0.01,1,0,0,0,p,8761955
2021-09-08 10:48,-3.284,0.01,1,0,0,0,p,8761955
2021-09-08 10:54,-3.281,0.007,1,0,0,0,p,8761955
2021-09-08 11:00,-3.281,0.01,0,0,0,0,p,8761955
2021-09-08 11:06,-3.284,0.007,1,0,0,0,p,8761955
2021-09-08 11:12,-3.287,0.007,1,0,0,0,p,8761955
2021-09-08 11:18,-3.281,0.013,0,0,0,0,p,8761955
2021-09-08 11:24,-3.281,0.01,1,0,0,0,p,8761955
2021-09-08 11:30,-3.268,0.01,0,0,0,0,p,8761955
2021-09-08 11:36,-3.284,0.01,1,0,0,0,p,8761955
2021-09-08 11:42,-3.284,0.01,1,0,0,0,p,8761955
2021-09-08 11:48,-3.278,0.01,0,0,0,0,p,8761955
2021-09-08 11:54,-3.268,0.007,1,0,0,0,p,8761955
2021-09-08 12:00,-3.291,0.007,1,0,0,0,p,8761955
2021-09-08 12:06,-3.281,0.007,0,0,0,0,p,8761955
2021-09-08 12:12,-3.287,0.01,0,0,0,0,p,8761955
2021-09-08 12:18,-3.278,0.036,0,0,0,0,p,8761955
2021-09-08 12:24,-3.281,0.036,1,0,0,0,p,8761955
2021-09-08 12:30,-3.281,0.02,1,0,0,0,p,8761955
2021-09-08 12:36,-3.271,0.02,1,0,0,0,p,8761955
2021-09-08 12:42,-3.258,0.016,1,0,0,0,p,8761955
2021-09-08 12:48,-3.274,0.016,0,0,0,0,p,8761955
2021-09-08 12:54,-3.251,0.01,1,0,0,0,p,8761955
2021-09-08 13:00,-3.278,0.01,1,0,0,0,p,8761955
