Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,1.11,0.016,1,0,0,0,p,9759110
2021-09-08 00:06,1.087,0.02,1,0,0,0,p,9759110
2021-09-08 00:12,1.087,0.02,1,0,0,0,p,9759110
2021-09-08 00:18,1.097,0.02,1,0,0,0,p,9759110
2021-09-08 00:24,1.123,0.02,0,0,0,0,p,9759110
2021-09-08 00:30,1.14,0.016,1,0,0,0,p,9759110
2021-09-08 00:36,1.166,0.016,1,0,0,0,p,9759110
2021-09-08 00:42,1.169,0.02,1,0,0,0,p,9759110
2021-09-08 00:48,1.146,0.023,1,0,0,0,p,9759110
2021-09-08 00:54,1.107,0.02,1,0,0,0,p,9759110
2021-09-08 01:00,1.084,0.02,1,0,0,0,p,9759110
2021-09-08 01:06,1.097,0.016,1,0,0,0,p,9759110
2021-09-08 01:12,1.107,0.016,0,0,0,0,p,9759110
2021-09-08 01:18,1.15,0.02,1,0,0,0,p,9759110
2021-09-08 01:24,1.182,0.02,1,0,0,0,p,9759110
2021-09-08 01:30,1.159,0.016,0,0,0,0,p,9759110
2021-09-08 01:36,1.143,0.02,1,0,0,0,p,9759110
2021-09-08 01:42,1.113,0.02,1,0,0,0,p,9759110
2021-09-08 01:48,1.09,0.023,0,0,0,0,p,9759110
2021-09-08 01:54,1.058,0.02,1,0,0,0,p,9759110
2021-09-08 02:00,1.071,0.02,1,0,0,0,p,9759110
2021-09-08 02:06,1.127,0.02,0,0,0,0,p,9759110
2021-09-08 02:12,1.136,0.02,0,0,0,0,p,9759110
2021-09-08 02:18,1.14,0.02,0,0,0,0,p,9759110
2021-09-08 02:24,1.117,0.02,1,0,0,0,p,9759110
2021-09-08 02:30,1.094,0.02,0,0,0,0,p,9759110
2021-09-08 02:36,1.09,0.02,0,0,0,0,p,9759110
2021-09-08 02:42,1.1,0.016,1,0,0,0,p,9759110
2021-09-08 02:48,1.1,0.02,1,0,0,0,p,9759110
2021-09-08 02:54,1.12,0.016,1,0,0,0,p,9759110
2021-09-08 03:00,1.113,0.016,1,0,0,0,p,9759110
2021-09-08 03:06,1.11,0.016,1,0,0,0,p,9759110
2021-09-08 03:12,1.09,0.016,1,0,0,0,p,9759110
2021-09-08 03:18,1.061,0.02,1,0,0,0,p,9759110
2021-09-08 03:24,1.045,0.02,1,0,0,0,p,9759110
